producto_original,producto_corregido,producto_key
Clavo,Clavo,CLAVO
Clendix,Clendix,CLENDIX
Clexane,Clexane,CLEXANE
Clindamicina,Clindamicina,CLINDAMICINA
Clopidogrel,Clopidogrel,CLOPIDOGREL
Cloramfeni Ofteno,Cloramfeni Ofteno,CLORAMFENI OFTENO
Clorfenamina Compuesta,Clorfenamina Compuesta,CLORFENAMINA COMPUESTA
Co-diovan,Co-diovan,CO-DIOVAN
Coctel de Frutas en Alm?bar,Coctel de Frutas en Almíbar,COCTEL DE FRUTAS EN ALMIBAR
Coctel de Frutas en Almíbar,Coctel de Frutas en Almíbar,COCTEL DE FRUTAS EN ALMIBAR
Col,Col,COL
Colación,Colación,COLACION
Coliflor,Coliflor,COLIFLOR
Colores de Madera,Colores de Madera,COLORES DE MADERA
Combinado Primavera,Combinado Primavera,COMBINADO PRIMAVERA
Combivent,Combivent,COMBIVENT
Combivent. Respimat,Combivent. Respimat,COMBIVENT. RESPIMAT
Comino,Comino,COMINO
Compas,Compas,COMPAS
Competact,Competact,COMPETACT
Componentes de Audio,Componentes de Audio,COMPONENTES DE AUDIO
Computadoras Port?tiles,Computadoras Portátiles,COMPUTADORAS PORTATILES
Computadoras Portátiles,Computadoras Portátiles,COMPUTADORAS PORTATILES
Concentrado de Pollo,Concentrado de Pollo,CONCENTRADO DE POLLO
Conjunto de Pants Deportivo Escolar,Conjunto de Pants Deportivo Escolar,CONJUNTO DE PANTS DEPORTIVO ESCOLAR
Contac,Contac,CONTAC
Controlip,Controlip,CONTROLIP
Copa Menstrual,Copa Menstrual,COPA MENSTRUAL
Crayones,Crayones,CRAYONES
Crema,Crema,CREMA
Crema Batida,Crema Batida,CREMA BATIDA
Crema Dental,Crema Dental,CREMA DENTAL
Crema L?quida,Crema Líquida,CREMA LIQUIDA
Crema Líquida,Crema Líquida,CREMA LIQUIDA
Crema S?lida,Crema Sólida,CREMA SOLIDA
Crema Sólida,Crema Sólida,CREMA SOLIDA
Crema de Avellanas con Cacao,Crema de Avellanas con Cacao,CREMA DE AVELLANAS CON CACAO
Crema de Cacahuate,Crema de Cacahuate,CREMA DE CACAHUATE
Crema para Rozaduras,Crema para Rozaduras,CREMA PARA ROZADURAS
Crestor,Crestor,CRESTOR
Cuaderno Forma College,Cuaderno Forma College,CUADERNO FORMA COLLEGE
Cuaderno Forma Francesa,Cuaderno Forma Francesa,CUADERNO FORMA FRANCESA
Cuaderno Forma Italiana,Cuaderno Forma Italiana,CUADERNO FORMA ITALIANA
Cuaderno Profesional,Cuaderno Profesional,CUADERNO PROFESIONAL
Cubrebocas,Cubrebocas,CUBREBOCAS
Cuchara Sopera,Cuchara Sopera,CUCHARA SOPERA
Cuchillo,Cuchillo,CUCHILLO
Curvina,Curvina,CURVINA
Cymbalta,Cymbalta,CYMBALTA
Cytotec,Cytotec,CYTOTEC
Cámaras Digitales,Cámaras Digitales,CAMARAS DIGITALES
Cúrcuma,Cúrcuma,CURCUMA
Daflon,Daflon,DAFLON
Dagla,Dagla,DAGLA
Dalacin C,Dalacin C,DALACIN C
Daxon,Daxon,DAXON
Desenfriol-d,Desenfriol-d,DESENFRIOL-D
Desenfriol-ito,Desenfriol-ito,DESENFRIOL-ITO
Desengrapadora,Desengrapadora,DESENGRAPADORA
Desloratadina,Desloratadina,DESLORATADINA
