presentacion_original,presentacion_corregida,presentacion_key,unidad_base,contenido_base,cantidad,unidad_original,unidades_empaque,subtipo_conteo,regla,confianza,requiere_revision,motivo_revision,metodo,es_comparable
Un 98du9000f. 98 Plgs. Crystal. Puerto Usb. Smart Tv.,Un 98du9000f. 98 Plgs. Crystal. Puerto Usb. Smart Tv.,UN 98DU9000F. 98 PLGS. CRYSTAL. PUERTO USB. SMART TV,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Universe. 16 Plgs. Pedestal. 3 Velocidades,Universe. 16 Plgs. Pedestal. 3 Velocidades,UNIVERSE. 16 PLGS. PEDESTAL. 3 VELOCIDADES,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Uso Rudo. Extractor,Uso Rudo. Extractor,USO RUDO. EXTRACTOR,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
V70 Max. Android 15 (v)/memoria Interna 256 GB. Cámara 50 MP + 2 MP/frontal 8 MP. 6.9 Plgs. Micro Sd Hasta 1 TB,V70 Max. Android 15 (v)/memoria Interna 256 GB. Cámara 50 MP + 2 MP/frontal 8 MP. 6.9 Plgs. Micro Sd Hasta 1 TB,V70 MAX. ANDROID 15 (V)/MEMORIA INTERNA 256 GB. CAMARA 50 MP + 2 MP/FRONTAL 8 MP. 6.9 PLGS. MICRO SD HASTA 1 TB,,,,,,,sin_cantidad,baja,True,sin_cantidad,auto,False
Vancouver (20589/724). Capacidad 6lt.,Vancouver (20589/724). Capacidad 6lt.,VANCOUVER (20589/724). CAPACIDAD 6LT,l,6.0,6.0,LT,,,cantidad_explicita,alta,False,,auto,True
Vaso 120 Gr. Fresa,Vaso 120 Gr. Fresa,VASO 120 GR. FRESA,kg,0.12,120.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 120 Gr. Natural Endulzado. Griego,Vaso 120 Gr. Natural Endulzado. Griego,VASO 120 GR. NATURAL ENDULZADO. GRIEGO,kg,0.12,120.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 120 Gr. Natural. Bajo en Grasa. 0% Azúcar Añadida. Griego Zero,Vaso 120 Gr. Natural. Bajo en Grasa. 0% Azúcar Añadida. Griego Zero,VASO 120 GR. NATURAL. BAJO EN GRASA. 0% AZUCAR ANADIDA. GRIEGO ZERO,kg,0.12,120.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 120 Gr. Natural. Endulzado,Vaso 120 Gr. Natural. Endulzado,VASO 120 GR. NATURAL. ENDULZADO,kg,0.12,120.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 125 Gr. Endulzado. Natural. Triple Cero %,Vaso 125 Gr. Endulzado. Natural. Triple Cero %,VASO 125 GR. ENDULZADO. NATURAL. TRIPLE CERO %,kg,0.125,125.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 125 Gr. Fresa,Vaso 125 Gr. Fresa,VASO 125 GR. FRESA,kg,0.125,125.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 125 Gr. Sabor Endulzado. Deslactosado. Bajo en Grasa. Griego,Vaso 125 Gr. Sabor Endulzado. Deslactosado. Bajo en Grasa. Griego,VASO 125 GR. SABOR ENDULZADO. DESLACTOSADO. BAJO EN GRASA. GRIEGO,kg,0.125,125.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 125 Gr. Sabor Natural con Endulzantes,Vaso 125 Gr. Sabor Natural con Endulzantes,VASO 125 GR. SABOR NATURAL CON ENDULZANTES,kg,0.125,125.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 145 Gr. Natural. Bajo en Grasa. 0% Azúcar Añadida. Griego,Vaso 145 Gr. Natural. Bajo en Grasa. 0% Azúcar Añadida. Griego,VASO 145 GR. NATURAL. BAJO EN GRASA. 0% AZUCAR ANADIDA. GRIEGO,kg,0.145,145.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 145 Gr. Natural. Bajo en Grasa. Griego,Vaso 145 Gr. Natural. Bajo en Grasa. Griego,VASO 145 GR. NATURAL. BAJO EN GRASA. GRIEGO,kg,0.145,145.0,GR,,,cantidad_explicita,alta,False,,auto,True
Vaso 150 Gr. Natural con Endulzantes. Griego,Vaso 150 Gr. Natural con Endulzantes. Griego,VASO 150 GR. NATURAL CON ENDULZANTES. GRIEGO,kg,0.15,150.0,GR,,,cantidad_explicita,alta,False,,auto,True
